

 ************************** Static Model - Solar Cycle **************************
                           F10.7 = 100.00 Fbar = 100.00

  Alt MMolMs LogDsty ExTemp LcTemp NMolHe NMolO2 NMolN2 NMolAr NMmolO  NMolH
 1420   2.16 -15.381 860.48 860.41 10.649   .000   .000   .000  6.271 10.852
 1430   2.14 -15.394 860.48 860.41 10.633   .000   .000   .000  6.207 10.848
 1440   2.12 -15.406 860.48 860.41 10.618   .000   .000   .000  6.144 10.844
 1450   2.10 -15.418 860.48 860.41 10.602   .000   .000   .000  6.081 10.840
 1460   2.09 -15.431 860.48 860.42 10.586   .000   .000   .000  6.018 10.836
 1470   2.07 -15.443 860.48 860.42 10.570   .000   .000   .000  5.955 10.832
 1480   2.05 -15.455 860.48 860.42 10.555   .000   .000   .000  5.892 10.828
 1490   2.03 -15.466 860.48 860.42 10.539   .000   .000   .000  5.829 10.825
 1500   2.01 -15.478 860.48 860.42 10.523   .000   .000   .000  5.767 10.821
 1510   1.99 -15.490 860.48 860.42 10.508   .000   .000   .000  5.705 10.817
 1520   1.98 -15.501 860.48 860.42 10.492   .000   .000   .000  5.643 10.813
 1530   1.96 -15.513 860.48 860.42 10.477   .000   .000   .000  5.581 10.809
 1540   1.94 -15.524 860.48 860.43 10.461   .000   .000   .000  5.519 10.805
 1550   1.92 -15.536 860.48 860.43 10.446   .000   .000   .000  5.457 10.801
 1560   1.91 -15.547 860.48 860.43 10.430   .000   .000   .000  5.396 10.797
 1570   1.89 -15.558 860.48 860.43 10.415   .000   .000   .000  5.334 10.793
 1580   1.88 -15.569 860.48 860.43 10.400   .000   .000   .000  5.273 10.789
 1590   1.86 -15.580 860.48 860.43 10.384   .000   .000   .000  5.212 10.786
 1600   1.84 -15.590 860.48 860.43 10.369   .000   .000   .000  5.151 10.782
 1610   1.83 -15.601 860.48 860.43 10.354   .000   .000   .000  5.091 10.778
 1620   1.81 -15.612 860.48 860.43 10.339   .000   .000   .000  5.030 10.774
 1630   1.80 -15.622 860.48 860.43 10.324   .000   .000   .000  4.970 10.770
 1640   1.78 -15.633 860.48 860.43 10.309   .000   .000   .000  4.909 10.767
 1650   1.77 -15.643 860.48 860.44 10.294   .000   .000   .000  4.849 10.763
 1660   1.75 -15.653 860.48 860.44 10.279   .000   .000   .000  4.789 10.759
 1670   1.74 -15.663 860.48 860.44 10.264   .000   .000   .000  4.730 10.755
 1680   1.72 -15.673 860.48 860.44 10.249   .000   .000   .000  4.670 10.751
 1690   1.71 -15.683 860.48 860.44 10.234   .000   .000   .000  4.610 10.748
 1700   1.70 -15.693 860.48 860.44 10.219   .000   .000   .000  4.551 10.744
 1710   1.68 -15.702 860.48 860.44 10.204   .000   .000   .000  4.492 10.740
 1720   1.67 -15.712 860.48 860.44 10.189   .000   .000   .000  4.433 10.736
 1730   1.66 -15.722 860.48 860.44 10.175   .000   .000   .000  4.374 10.733
 1740   1.64 -15.731 860.48 860.44 10.160   .000   .000   .000  4.315 10.729
 1750   1.63 -15.740 860.48 860.44 10.145   .000   .000   .000  4.256 10.725
 1760   1.62 -15.750 860.48 860.44 10.131   .000   .000   .000  4.198 10.722
 1770   1.61 -15.759 860.48 860.44 10.116   .000   .000   .000  4.139 10.718
 1780   1.60 -15.768 860.48 860.44 10.102   .000   .000   .000  4.081 10.714
 1790   1.58 -15.777 860.48 860.45 10.087   .000   .000   .000  4.023 10.711
 1800   1.57 -15.786 860.48 860.45 10.073   .000   .000   .000  3.965 10.707
 1810   1.56 -15.794 860.48 860.45 10.058   .000   .000   .000  3.908 10.703
 1820   1.55 -15.803 860.48 860.45 10.044   .000   .000   .000  3.850 10.700
 1830   1.54 -15.812 860.48 860.45 10.029   .000   .000   .000  3.792 10.696
 1840   1.53 -15.820 860.48 860.45 10.015   .000   .000   .000  3.735 10.693
 1850   1.52 -15.829 860.48 860.45 10.001   .000   .000   .000  3.678 10.689
 1860   1.51 -15.837 860.48 860.45  9.986   .000   .000   .000  3.621 10.685
 1870   1.50 -15.845 860.48 860.45  9.972   .000   .000   .000  3.564 10.682
 1880   1.49 -15.854 860.48 860.45  9.958   .000   .000   .000  3.507 10.678
