 ******************************** Static Profile ********************************
                             Exospheric Temperature

  alt           500K           700K          1000K          1500K          2400K
 (km) mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty
 1210   1.05 -15.275   1.62 -15.319   3.27 -14.887   5.75 -14.177  13.60 -12.872
 1220   1.05 -15.283   1.60 -15.332   3.25 -14.901   5.65 -14.198  13.52 -12.895
 1230   1.04 -15.291   1.59 -15.344   3.23 -14.915   5.55 -14.220  13.43 -12.918
 1240   1.04 -15.299   1.57 -15.357   3.21 -14.929   5.45 -14.240  13.34 -12.941
 1250   1.04 -15.308   1.55 -15.369   3.20 -14.943   5.36 -14.261  13.24 -12.964
 1260   1.04 -15.316   1.54 -15.382   3.18 -14.957   5.27 -14.280  13.15 -12.987
 1270   1.04 -15.324   1.52 -15.394   3.16 -14.970   5.19 -14.300  13.05 -13.010
 1280   1.04 -15.332   1.51 -15.406   3.15 -14.984   5.11 -14.318  12.95 -13.032
 1290   1.03 -15.340   1.49 -15.417   3.13 -14.997   5.04 -14.337  12.85 -13.055
 1300   1.03 -15.347   1.48 -15.429   3.11 -15.011   4.97 -14.355  12.75 -13.077
 1310   1.03 -15.355   1.47 -15.441   3.10 -15.024   4.90 -14.372  12.65 -13.099
 1320   1.03 -15.363   1.45 -15.452   3.08 -15.037   4.84 -14.389  12.55 -13.121
 1330   1.03 -15.371   1.44 -15.463   3.06 -15.050   4.78 -14.406  12.44 -13.143
 1340   1.03 -15.378   1.43 -15.474   3.05 -15.063   4.72 -14.422  12.34 -13.165
 1350   1.03 -15.386   1.42 -15.485   3.03 -15.076   4.67 -14.438  12.23 -13.186
 1360   1.03 -15.393   1.40 -15.496   3.01 -15.089   4.62 -14.453  12.12 -13.208
 1370   1.03 -15.401   1.39 -15.506   3.00 -15.102   4.57 -14.469  12.01 -13.229
 1380   1.03 -15.408   1.38 -15.516   2.98 -15.115   4.52 -14.483  11.90 -13.251
 1390   1.02 -15.416   1.37 -15.527   2.96 -15.127   4.48 -14.498  11.79 -13.272
 1400   1.02 -15.423   1.36 -15.537   2.95 -15.140   4.44 -14.512  11.68 -13.293
 1410   1.02 -15.431   1.35 -15.547   2.93 -15.153   4.40 -14.526  11.57 -13.314
 1420   1.02 -15.438   1.34 -15.557   2.91 -15.165   4.37 -14.540  11.45 -13.334
 1430   1.02 -15.445   1.33 -15.566   2.90 -15.178   4.33 -14.553  11.34 -13.355
 1440   1.02 -15.452   1.32 -15.576   2.88 -15.190   4.30 -14.566  11.22 -13.375
 1450   1.02 -15.460   1.31 -15.585   2.86 -15.202   4.27 -14.579  11.11 -13.396
 1460   1.02 -15.467   1.30 -15.595   2.85 -15.215   4.24 -14.591  10.99 -13.416
 1470   1.02 -15.474   1.29 -15.604   2.83 -15.227   4.21 -14.604  10.88 -13.436
 1480   1.02 -15.481   1.28 -15.613   2.81 -15.239   4.19 -14.616  10.76 -13.456
 1490   1.02 -15.488   1.28 -15.622   2.80 -15.251   4.16 -14.628  10.64 -13.476
 1500   1.02 -15.495   1.27 -15.631   2.78 -15.263   4.14 -14.640  10.52 -13.495
 1510   1.02 -15.502   1.26 -15.639   2.76 -15.275   4.12 -14.651  10.41 -13.515
 1520   1.02 -15.509   1.25 -15.648   2.75 -15.287   4.09 -14.663  10.29 -13.534
 1530   1.02 -15.516   1.25 -15.656   2.73 -15.298   4.07 -14.674  10.17 -13.553
 1540   1.02 -15.523   1.24 -15.665   2.71 -15.310   4.06 -14.685  10.06 -13.572
 1550   1.02 -15.530   1.23 -15.673   2.70 -15.322   4.04 -14.696   9.94 -13.591
 1560   1.02 -15.537   1.23 -15.681   2.68 -15.334   4.02 -14.706   9.82 -13.610
 1570   1.02 -15.544   1.22 -15.689   2.66 -15.345   4.00 -14.717   9.71 -13.628
 1580   1.01 -15.551   1.21 -15.697   2.64 -15.357   3.99 -14.728   9.59 -13.647
 1590   1.01 -15.557   1.21 -15.705   2.63 -15.368   3.97 -14.738   9.48 -13.665
 1600   1.01 -15.564   1.20 -15.713   2.61 -15.379   3.96 -14.748   9.37 -13.683
 1610   1.01 -15.571   1.19 -15.721   2.59 -15.391   3.95 -14.758   9.25 -13.701
 1620   1.01 -15.578   1.19 -15.728   2.58 -15.402   3.93 -14.768   9.14 -13.719
 1630   1.01 -15.584   1.18 -15.736   2.56 -15.413   3.92 -14.778   9.03 -13.736
 1640   1.01 -15.591   1.18 -15.743   2.54 -15.424   3.91 -14.788   8.92 -13.754
 1650   1.01 -15.598   1.17 -15.750   2.53 -15.435   3.90 -14.798   8.81 -13.771
 1660   1.01 -15.604   1.17 -15.758   2.51 -15.446   3.89 -14.807   8.70 -13.788
 1670   1.01 -15.611   1.16 -15.765   2.49 -15.457   3.87 -14.817   8.60 -13.805
 1680   1.01 -15.617   1.16 -15.772   2.48 -15.468   3.86 -14.826   8.49 -13.822
 1690   1.01 -15.624   1.15 -15.779   2.46 -15.479   3.85 -14.835   8.39 -13.839
 1700   1.01 -15.631   1.15 -15.786   2.44 -15.490   3.85 -14.845   8.28 -13.855
 1710   1.01 -15.637   1.15 -15.792   2.43 -15.500   3.84 -14.854   8.18 -13.871
 1720   1.01 -15.644   1.14 -15.799   2.41 -15.511   3.83 -14.863   8.08 -13.888
 1730   1.01 -15.650   1.14 -15.806   2.40 -15.522   3.82 -14.872   7.98 -13.904
 1740   1.01 -15.657   1.13 -15.812   2.38 -15.532   3.81 -14.881   7.88 -13.919
 1750   1.01 -15.663   1.13 -15.819   2.36 -15.543   3.80 -14.890   7.79 -13.935
 1760   1.01 -15.669   1.13 -15.825   2.35 -15.553   3.79 -14.899   7.69 -13.950
 1770   1.01 -15.676   1.12 -15.832   2.33 -15.563   3.79 -14.908   7.60 -13.966
 1780   1.01 -15.682   1.12 -15.838   2.31 -15.573   3.78 -14.916   7.51 -13.981
 1790   1.01 -15.689   1.12 -15.844   2.30 -15.584   3.77 -14.925   7.42 -13.996
 1800   1.01 -15.695   1.11 -15.851   2.28 -15.594   3.77 -14.934   7.33 -14.011
 1810   1.01 -15.701   1.11 -15.857   2.27 -15.604   3.76 -14.942   7.24 -14.025
 1820   1.01 -15.708   1.11 -15.863   2.25 -15.614   3.75 -14.951   7.16 -14.040
 1830   1.01 -15.714   1.10 -15.869   2.24 -15.624   3.74 -14.959   7.07 -14.054
 1840   1.01 -15.720   1.10 -15.875   2.22 -15.634   3.74 -14.968   6.99 -14.068
 1850   1.01 -15.727   1.10 -15.881   2.21 -15.643   3.73 -14.976   6.91 -14.082
 1860   1.01 -15.733   1.10 -15.887   2.19 -15.653   3.73 -14.985   6.83 -14.096
 1870   1.01 -15.739   1.09 -15.892   2.18 -15.663   3.72 -14.993   6.76 -14.109
 1880   1.01 -15.745   1.09 -15.898   2.16 -15.673   3.71 -15.001   6.68 -14.123
 1890   1.01 -15.751   1.09 -15.904   2.15 -15.682   3.71 -15.009   6.61 -14.136
 1900   1.01 -15.758   1.09 -15.910   2.13 -15.692   3.70 -15.018   6.54 -14.149
 1910   1.01 -15.764   1.08 -15.915   2.12 -15.701   3.70 -15.026   6.46 -14.162
 1920   1.01 -15.770   1.08 -15.921   2.10 -15.710   3.69 -15.034   6.40 -14.175
 1930   1.01 -15.776   1.08 -15.926   2.09 -15.720   3.68 -15.042   6.33 -14.187
 1940   1.01 -15.782   1.08 -15.932   2.07 -15.729   3.68 -15.050   6.26 -14.200
 1950   1.01 -15.788   1.08 -15.937   2.06 -15.738   3.67 -15.058   6.20 -14.212
 1960   1.01 -15.794   1.07 -15.943   2.04 -15.747   3.67 -15.066   6.14 -14.224
 1970   1.01 -15.800   1.07 -15.948   2.03 -15.756   3.66 -15.074   6.07 -14.236
 1980   1.01 -15.806   1.07 -15.953   2.02 -15.765   3.66 -15.082   6.01 -14.248
 1990   1.01 -15.812   1.07 -15.958   2.00 -15.774   3.65 -15.090   5.96 -14.260
 2000   1.01 -15.818   1.07 -15.964   1.99 -15.783   3.65 -15.098   5.90 -14.271
