

 ************************** Static Model - Solar Cycle **************************
                           F10.7 = 100.00 Fbar = 100.00

  Alt MMolMs LogDsty ExTemp LcTemp NMolHe NMolO2 NMolN2 NMolAr NMmolO  NMolH
 1480   2.04 -15.453 860.48 860.42 10.556   .000   .000   .000  5.894 10.832
 1490   2.03 -15.464 860.48 860.42 10.540   .000   .000   .000  5.831 10.829
 1500   2.01 -15.476 860.48 860.42 10.524   .000   .000   .000  5.769 10.825
 1510   1.99 -15.488 860.48 860.42 10.509   .000   .000   .000  5.706 10.821
 1520   1.97 -15.499 860.48 860.42 10.493   .000   .000   .000  5.644 10.817
 1530   1.95 -15.511 860.48 860.42 10.478   .000   .000   .000  5.582 10.813
 1540   1.94 -15.522 860.48 860.43 10.462   .000   .000   .000  5.520 10.809
 1550   1.92 -15.533 860.48 860.43 10.447   .000   .000   .000  5.459 10.805
 1560   1.90 -15.545 860.48 860.43 10.431   .000   .000   .000  5.397 10.801
 1570   1.89 -15.556 860.48 860.43 10.416   .000   .000   .000  5.336 10.797
 1580   1.87 -15.567 860.48 860.43 10.401   .000   .000   .000  5.275 10.793
 1590   1.85 -15.577 860.48 860.43 10.385   .000   .000   .000  5.214 10.790
 1600   1.84 -15.588 860.48 860.43 10.370   .000   .000   .000  5.153 10.786
 1610   1.82 -15.599 860.48 860.43 10.355   .000   .000   .000  5.092 10.782
 1620   1.81 -15.609 860.48 860.43 10.340   .000   .000   .000  5.032 10.778
 1630   1.79 -15.620 860.48 860.43 10.325   .000   .000   .000  4.971 10.774
 1640   1.78 -15.630 860.48 860.43 10.310   .000   .000   .000  4.911 10.771
 1650   1.76 -15.641 860.48 860.44 10.295   .000   .000   .000  4.851 10.767
 1660   1.75 -15.651 860.48 860.44 10.280   .000   .000   .000  4.791 10.763
 1670   1.73 -15.661 860.48 860.44 10.265   .000   .000   .000  4.731 10.759
 1680   1.72 -15.671 860.48 860.44 10.250   .000   .000   .000  4.671 10.755
 1690   1.71 -15.681 860.48 860.44 10.235   .000   .000   .000  4.612 10.752
 1700   1.69 -15.690 860.48 860.44 10.220   .000   .000   .000  4.553 10.748
 1710   1.68 -15.700 860.48 860.44 10.205   .000   .000   .000  4.493 10.744
 1720   1.67 -15.710 860.48 860.44 10.190   .000   .000   .000  4.434 10.740
 1730   1.65 -15.719 860.48 860.44 10.176   .000   .000   .000  4.375 10.737
 1740   1.64 -15.729 860.48 860.44 10.161   .000   .000   .000  4.317 10.733
 1750   1.63 -15.738 860.48 860.44 10.146   .000   .000   .000  4.258 10.729
 1760   1.62 -15.747 860.48 860.44 10.132   .000   .000   .000  4.199 10.726
 1770   1.60 -15.756 860.48 860.44 10.117   .000   .000   .000  4.141 10.722
 1780   1.59 -15.765 860.48 860.44 10.103   .000   .000   .000  4.083 10.718
 1790   1.58 -15.774 860.48 860.45 10.088   .000   .000   .000  4.025 10.715
 1800   1.57 -15.783 860.48 860.45 10.074   .000   .000   .000  3.967 10.711
 1810   1.56 -15.792 860.48 860.45 10.059   .000   .000   .000  3.909 10.707
 1820   1.55 -15.801 860.48 860.45 10.045   .000   .000   .000  3.851 10.704
 1830   1.54 -15.809 860.48 860.45 10.030   .000   .000   .000  3.794 10.700
 1840   1.52 -15.818 860.48 860.45 10.016   .000   .000   .000  3.737 10.696
 1850   1.51 -15.826 860.48 860.45 10.002   .000   .000   .000  3.679 10.693
 1860   1.50 -15.834 860.48 860.45  9.987   .000   .000   .000  3.622 10.689
 1870   1.49 -15.843 860.48 860.45  9.973   .000   .000   .000  3.565 10.686
 1880   1.48 -15.851 860.48 860.45  9.959   .000   .000   .000  3.509 10.682
 1890   1.47 -15.859 860.48 860.45  9.945   .000   .000   .000  3.452 10.679
 1900   1.47 -15.867 860.48 860.45  9.931   .000   .000   .000  3.395 10.675
 1910   1.46 -15.875 860.48 860.45  9.916   .000   .000   .000  3.339 10.671
 1920   1.45 -15.883 860.48 860.45  9.902   .000   .000   .000  3.283 10.668
 1930   1.44 -15.891 860.48 860.45  9.888   .000   .000   .000  3.227 10.664
 1940   1.43 -15.898 860.48 860.45  9.874   .000   .000   .000  3.171 10.661
 1950   1.42 -15.906 860.48 860.45  9.860   .000   .000   .000  3.115 10.657
 1960   1.41 -15.913 860.48 860.45  9.846   .000   .000   .000  3.059 10.654
 1970   1.40 -15.921 860.48 860.45  9.833   .000   .000   .000  3.004 10.650
 1980   1.40 -15.928 860.48 860.45  9.819   .000   .000   .000  2.948 10.647
 1990   1.39 -15.935 860.48 860.45  9.805   .000   .000   .000  2.893 10.643
 2000   1.38 -15.943 860.48 860.45  9.791   .000   .000   .000  2.838 10.640
